Geographic Area,2020,2021,2022,2023,2024
".Owensboro, KY Metro Area","112,531","112,208","112,485","113,003",113583
".Oxnard-Thousand Oaks-Ventura, CA Metro Area","843,808","840,009","835,032","833,071",835427
".Paducah, KY-IL Metro Area","103,454","102,938","102,507","102,446",102395
".Palm Bay-Melbourne-Titusville, FL Metro Area","608,792","618,000","631,956","646,705",658447
".Panama City-Panama City Beach, FL Metro Area","199,857","204,404","211,158","217,967",226221
".Parkersburg-Vienna, WV Metro Area","89,333","88,887","88,459","87,941",87681
".Pensacola-Ferry Pass-Brent, FL Metro Area","511,634","517,219","522,590","531,603",538928
".Peoria, IL Metro Area","368,313","365,663","363,597","363,874",364565
".Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","6,242,286","6,254,431","6,252,024","6,280,902",6330422
"..Camden, NJ Metro Division","1,287,420","1,293,359","1,299,041","1,308,977",1321286
"..Montgomery County-Bucks County-Chester County, PA Metro Division","2,037,950","2,052,777","2,058,967","2,074,608",2090066
"..Philadelphia, PA Metro Division","2,177,311","2,167,044","2,147,594","2,143,887",2158798
"..Wilmington, DE-MD-NJ Metro Division","739,605","741,251","746,422","753,430",760272
".Phoenix-Mesa-Chandler, AZ Metro Area","4,875,628","4,949,233","5,029,933","5,102,020",5186958
".Pinehurst-Southern Pines, NC Metro Area","100,293","103,049","105,548","107,072",108417
".Pittsburgh, PA Metro Area","2,455,372","2,450,914","2,434,027","2,429,469",2429917
".Pittsfield, MA Metro Area","129,812","130,199","129,551","128,863",128726
".Pocatello, ID Metro Area","87,281","88,523","89,871","90,585",91010
".Portland-South Portland, ME Metro Area","552,599","558,373","563,795","567,916",571534
".Portland-Vancouver-Hillsboro, OR-WA Metro Area","2,517,742","2,517,316","2,510,302","2,521,668",2537904
".Port St. Lucie, FL Metro Area","490,130","504,225","522,261","540,427",556336
".Prescott Valley-Prescott, AZ Metro Area","237,228","242,392","246,266","249,499",252013
".Providence-Warwick, RI-MA Metro Area","1,673,306","1,676,975","1,680,699","1,688,482",1700901
".Provo-Orem-Lehi, UT Metro Area","675,432","698,252","717,339","738,375",760531
".Pueblo, CO Metro Area","168,352","169,354","169,485","169,723",169866
".Punta Gorda, FL Metro Area","188,017","194,982","203,113","207,085",212122
".Racine-Mount Pleasant, WI Metro Area","198,065","196,829","196,710","197,407",198651
".Raleigh-Cary, NC Metro Area","1,417,148","1,451,314","1,483,195","1,522,844",1562009
".Rapid City, SD Metro Area","147,818","150,849","153,972","155,882",156227
".Reading, PA Metro Area","428,693","429,698","432,281","435,284",439117
".Redding, CA Metro Area","182,190","182,243","180,972","180,656",181121
".Reno, NV Metro Area","551,298","559,494","562,212","566,986",575110
".Richmond, VA Metro Area","1,316,742","1,326,573","1,339,341","1,353,426",1370165
".Riverside-San Bernardino-Ontario, CA Metro Area","4,608,189","4,646,102","4,675,657","4,704,354",4744214
".Roanoke, VA Metro Area","315,242","314,758","314,295","314,887",315749
".Rochester, MN Metro Area","226,573","227,556","228,307","229,429",230742
".Rochester, NY Metro Area","1,062,975","1,061,174","1,055,881","1,054,815",1057218
".Rockford, IL Metro Area","338,302","336,586","335,165","335,453",337103
".Rocky Mount, NC Metro Area","143,939","143,566","144,403","145,742",147114
".Rome, GA Metro Area","98,583","98,498","99,586","100,407",101390
".Sacramento-Roseville-Folsom, CA Metro Area","2,401,696","2,409,061","2,423,591","2,434,464",2463127
".Saginaw, MI Metro Area","189,883","189,533","188,425","187,769",187714
".St. Cloud, MN Metro Area","199,846","200,760","202,126","203,677",205878
".St. George, UT Metro Area","182,029","191,552","197,898","202,735",207943
".St. Joseph, MO-KS Metro Area","121,638","120,801","119,759","118,739",119124
".St. Louis, MO-IL Metro Area","2,819,885","2,813,562","2,803,371","2,805,507",2811927
".Salem, OR Metro Area","434,308","437,264","439,374","440,164",443416
".Salinas, CA Metro Area","440,506","439,245","436,427","435,637",436251
".Salisbury, MD Metro Area","128,130","128,673","129,681","130,629",131570
".Salt Lake City-Murray, UT Metro Area","1,260,379","1,263,290","1,272,236","1,282,681",1300762
".San Angelo, TX Metro Area","121,713","120,778","120,550","120,897",121629
".San Antonio-New Braunfels, TX Metro Area","2,568,935","2,605,783","2,660,228","2,715,709",2763006
".San Diego-Chula Vista-Carlsbad, CA Metro Area","3,301,182","3,274,244","3,283,755","3,285,890",3298799
".Sandusky, OH Metro Area","115,780","115,069","114,547","113,944",113533
".San Francisco-Oakland-Fremont, CA Metro Area","4,745,673","4,621,751","4,599,793","4,609,445",4648486
"..Oakland-Fremont-Berkeley, CA Metro Division","2,846,779","2,807,669","2,795,989","2,800,321",2821667
"..San Francisco-San Mateo-Redwood City, CA Metro Division","1,637,553","1,554,828","1,546,661","1,553,418",1570419
